item,correct_strict_v1,correct_strict_v2_display_primary,span_entropy,perception_entropy,model_span,truth_span,model_span_norm,truth_span_norm,model_label,truth_label,model_tier,truth_tier,is_mcq,sympy_match,sympy_partial_parse_risk,sympy_malformed_derivative,multi_answer_collapse,mcq_option,tiny_valid_mcq,tiny_suspicious_non_mcq,multi_value_answer,set_answer,system_answer,derivative_equation,text_conclusion,rules_disagree,priority,final_label,confidence,note
2,True,False,1.3321790402101223,0.0,40^\circ 20' = \frac{1210}{540} \text{ radians}.,40^\circ 20' = \frac{121\textcolor{red}{\theta}}{540} \text{ radian}.,40^\circ 20'=\frac {1210}{540} radians,40^\circ 20'=\frac {121\theta }{540} radian,sympy:40**circ*20,sympy:40**circ*20,display_math,display_math,False,True,False,False,False,False,False,False,False,False,False,False,True,True,high,,,
9,False,True,0.6730116670092565,1.0549201679861442,"(x, z) \in R","(\textcolor{red}{x, z}) \in R","(x,z) \in r","(x,z) \in r","text:(x, z) \in r","text:(x, z) \in r",display_math,display_math,False,False,False,False,False,False,False,False,True,True,False,False,False,True,high,,,
10,True,True,1.3321790402101223,1.3321790402101223,2,2,2,2,sympy:2,sympy:2,display_math,display_math,False,True,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
12,False,False,0.9502705392332347,0.9502705392332347,y = 1,"x = 3, \, y = 1",y=1,"x=3,y=1","sympy:eq(y, 1)","sympy:eq(x, 3)",display_math,display_math,False,False,True,False,False,False,False,True,False,False,True,False,False,False,high,,,
24,True,False,0.9502705392332347,0.5004024235381879,10^6,10^{6},10^6,10^{6},sympy:10**6,sympy:10**6,display_math,display_math,False,True,False,False,False,False,False,False,False,False,False,False,False,True,high,,,
27,True,True,0.5004024235381879,0.5004024235381879,"4x = 3, \quad 3x - y = -6.","\textcolor{red}{4x = 3, \quad 3x - y = -6.}","4x=3,3x-y=-6","4x=3,3x-y=-6","sympy:eq(4*x, 3)","sympy:eq(4*x, 3)",display_math,display_math,False,True,True,False,False,False,False,False,False,True,True,False,False,False,high,,,
33,False,False,0.9502705392332347,0.9502705392332347,"Therefore, -2 is a zero of the polynomial x + 2, but 2 is not",2,"therefore,-2 is a zero of the polynomial x+2,but 2 is not",2,"text:therefore, -2 is a zero of the polynomial x + 2, but 2 is not",sympy:2,last_line,display_math,False,False,False,False,False,False,False,True,True,False,False,False,True,False,high,,,
34,False,True,0.0,0.5004024235381879,0 = 9,"0 = 9,",0=9,0=9,text:0 = 9,"text:0 = 9,",display_math,display_math,False,False,False,False,False,False,False,True,False,False,False,False,False,True,high,,,
35,False,False,1.3321790402101223,1.3321790402101223,"(-4, -5)",7,"(-4,-5)",7,"text:(-4, -5)",sympy:7,display_math,display_math,False,False,False,False,False,False,False,True,True,False,False,False,False,False,high,,,
40,False,False,1.0549201679861442,1.0549201679861442,,\textcolor{red}{y},<parse_failure>,y,<parse_failure>,sympy:y,parse_fail,display_math,False,False,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
47,False,False,1.3321790402101223,1.6094379124341005,x = 2 \quad \text{and} \quad y = 3.,"x = \textcolor{red}{2 \, \text{cm}} \quad \text{and} \quad y = \textcolor{red}{3 \, \text{cm}}.",x=2 and y=3,x=2 cm and y=3 cm,text:x = 2 and y = 3,"text:x = 2 \, cm and y = 3 \, cm",display_math,display_math,False,False,True,False,False,False,False,False,False,False,True,False,False,False,high,,,
53,False,True,1.3321790402101223,1.3321790402101223,nC_{17} = 18C_{17} = 18,nC_{17} = \textcolor{red}{18C_{17}} = 18.,nc_{17}=18c_{17}=18,nc_{17}=18c_{17}=18,text:nc_{17} = 18c_{17} = 18,text:nc_{17} = \textcolor{red}{18c_{17}} = 18,display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,False,True,high,,,
54,False,False,0.9502705392332347,0.9502705392332347,"Therefore, 243 is not a perfect cube",243,"therefore,243 is not a perfect cube",243,"text:therefore, 243 is not a perfect cube",sympy:243,last_line,display_math,False,False,False,False,False,False,False,True,True,False,False,False,True,False,high,,,
62,True,False,0.9502705392332347,0.0,"\left(\frac{f}{g}\right)(x) = \frac{\sqrt{x}}{x}, \quad x \neq 0.","\left( \frac{f}{g} \right)(x) = \frac{\sqrt{x}}{x}, \quad x \neq 0.","(\frac {f}{g} )(x)=\frac {\sqrt {x}}{x},x \neq 0","( \frac {f}{g} )(x)=\frac {\sqrt {x}}{x},x \neq 0","sympy:eq(x*(f/g), sqrt(x)/x)","sympy:eq(x*(f/g), sqrt(x)/x)",display_math,display_math,False,True,False,False,False,False,False,False,False,False,False,False,True,True,high,,,
63,False,False,1.3321790402101223,1.3321790402101223,(1),"\textcolor{red}{t}^2 + \textcolor{red}{z}^2 + 2\textcolor{red}{t} - 4\textcolor{red}{z} + C = 0, \text{ where } C = 2C_1",(1),"t^2+z^2+2t-4z+c=0,where c=2c_1",sympy:1,"sympy:eq(c + (-4*z + (2*t + (t**2 + z**2))), 0)",display_math,display_math,False,False,True,False,False,False,False,True,False,False,True,False,False,False,high,,,
65,False,False,1.6094379124341005,1.6094379124341005,,y = 4000,<parse_failure>,y=4000,<parse_failure>,"sympy:eq(y, 4000)",parse_fail,display_math,False,False,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
67,False,False,1.0549201679861442,0.5004024235381879,d = \frac{1}{2} - (-\frac{3}{2}) = -2,"a = \frac{3}{2}, \quad d = \frac{1}{2} - \left(-\frac{3}{2}\right) = \textcolor{red}{-2}.",d=\frac {1}{2}-(-\frac {3}{2})=-2,"a=\frac {3}{2},d=\frac {1}{2}-(-\frac {3}{2} )=-2",text:d = \frac{1}{2} - (-\frac{3}{2}) = -2,"sympy:eq(a, 3/2)",display_math,display_math,False,False,True,False,False,False,False,False,False,False,True,False,True,False,high,,,
75,False,False,0.5004024235381879,0.5004024235381879,"P,Q,R",R,"p,q,r",r,sympy:p,sympy:r,display_math,display_math,False,False,False,False,True,False,False,True,True,False,False,False,False,False,high,,,
76,True,True,0.5004024235381879,0.5004024235381879,zx,zx,zx,zx,sympy:x*z,sympy:x*z,display_math,display_math,False,True,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
77,True,True,0.0,0.0,m,m,m,m,sympy:m,sympy:m,display_math,display_math,False,True,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
83,False,False,1.3321790402101223,1.3321790402101223,,P(B \text{ wins}) = 1 - P(A \text{ wins}) = 1 - \frac{6}{11} = \frac{5}{11},<parse_failure>,p(b wins)=1-p(a wins)=1-\frac {6}{11}=\frac {5}{11},<parse_failure>,text:p(b wins) = 1 - p(a wins) = 1 - \frac{6}{11} = \frac{5}{11},parse_fail,display_math,False,False,False,False,False,False,False,True,False,False,False,False,True,False,high,,,
84,True,True,0.9502705392332347,0.9502705392332347,c,C,c,c,sympy:c,sympy:c,display_math,display_math,False,True,False,False,False,False,False,True,False,False,False,False,False,False,high,,,
88,False,False,0.6730116670092565,0.6730116670092565,5^2 = 25,"\left( \frac{5}{8} \right)^{-7} \times \left( \frac{8}{5} \right)^{-5} 
= \frac{5^{-7}}{8^{-7}} \times \frac{8^{-5}}{5^{-5}} 
= \frac{5^{-7} \times 8^{-5}}{8^{-7} \times 5^{-5}} 
= 5^{-2} \times 8^{2} = \frac{8^{2}}{5^{2}} = \frac{64}{25}.
\textcolor{red}{\text{Here, } 8^2 = 64 \text{ and } 5^2 = 25.}",5^2=25,"( \frac {5}{8} )^{-7}*( \frac {8}{5} )^{-5}=\frac {5^{-7}}{8^{-7}}*\frac {8^{-5}}{5^{-5}}=\frac {5^{-7}*8^{-5}}{8^{-7}*5^{-5}}=5^{-2}*8^{2}=\frac {8^{2}}{5^{2}}=\frac {64}{25}. here,8^2=64 and 5^2=25",text:5^2 = 25,"text:( \frac{5}{8} )^{-7} \times ( \frac{8}{5} )^{-5} = \frac{5^{-7}}{8^{-7}} \times \frac{8^{-5}}{5^{-5}} = \frac{5^{-7} \times 8^{-5}}{8^{-7} \times 5^{-5}} = 5^{-2} \times 8^{2} = \frac{8^{2}}{5^{2}} = \frac{64}{25}. here, 8^2 = 64 and 5^2 = 25",display_math,display_math,False,False,True,False,False,False,False,False,False,False,True,False,True,False,high,,,
