truth_condition,p,k,n_items,n_sims,seed,n_valid,n_invalid,auroc_median,auroc_p2.5,auroc_p97.5,minority_median,minority_rate_median,runtime_s,smoke,auroc_exact,exact_available
y=1,0.05,3,650,2000,1602315233,1979,21,0.06867283950617284,0.05568018145190232,0.1946594427244582,5.0,0.007692307692307693,0.627,False,0.07680250783699061,True
y=1,0.05,5,650,2000,2611176192,1061,939,0.01078582434514638,0.00539291217257319,0.0630787037037037,1.0,0.0015384615384615385,0.366,False,0.013779997174284141,True
y=1,0.05,7,650,2000,2751715622,243,1757,0.0015408320493066256,0.0,0.006124807395993828,0.0,0.0,0.128,False,0.002552622481114992,True
y=1,0.05,9,650,2000,2641280608,46,1954,0.0,0.0,0.002792758089368259,0.0,0.0,0.073,False,0.0004781254159454428,True
y=1,0.05,15,650,2000,3209344213,1,1999,0.0,0.0,0.0,0.0,0.0,0.068,False,3.2143613094944104e-06,True
y=1,0.1,3,650,2000,725006514,2000,0,0.1365079365079365,0.11058244439822312,0.19782299175594395,18.0,0.027692307692307693,0.642,False,0.1428571428571429,True
y=1,0.1,5,650,2000,1975956461,1992,8,0.039032030031201245,0.02708036256884597,0.11003696038561477,5.0,0.007692307692307693,0.654,False,0.04817207256734475,True
y=1,0.1,7,650,2000,3523812707,1682,318,0.012326656394453005,0.0061633281972265025,0.07263737101187653,2.0,0.003076923076923077,0.579,False,0.016879533878685005,True
y=1,0.1,9,650,2000,3284910671,892,1108,0.003852080123266564,0.0007704160246533128,0.03291602465331281,0.0,0.0,0.341,False,0.005993923565503886,True
y=1,0.1,15,650,2000,3325608065,50,1950,0.0,0.0,0.0015408320493066256,0.0,0.0,0.087,False,0.00027503616742025245,True
y=1,0.15,3,650,2000,1358036477,2000,0,0.19879609663249875,0.1655515337340991,0.24702493011249005,40.0,0.06153846153846154,0.652,False,0.20085470085470086,True
y=1,0.15,5,650,2000,1618448999,2000,0,0.09163747581694379,0.06141732283464567,0.14279967303141625,17.0,0.026153846153846153,0.668,False,0.09497628568399451,True
y=1,0.15,7,650,2000,3186021445,1998,2,0.04190837532716122,0.024143302180685357,0.09947732025733415,8.0,0.012307692307692308,0.679,False,0.04688007264900183,True
