review_id,protocol_version,model_correctness,reference_fidelity,failure_category,confidence,evidence_note,rater_pseudonym,timestamp
R0000,second_rater_v1_20260814,,,,,,,
R0001,second_rater_v1_20260814,,,,,,,
R0002,second_rater_v1_20260814,,,,,,,
R0003,second_rater_v1_20260814,,,,,,,
R0004,second_rater_v1_20260814,,,,,,,
R0005,second_rater_v1_20260814,,,,,,,
R0006,second_rater_v1_20260814,,,,,,,
R0007,second_rater_v1_20260814,,,,,,,
R0008,second_rater_v1_20260814,,,,,,,
R0009,second_rater_v1_20260814,,,,,,,
R0010,second_rater_v1_20260814,,,,,,,
R0011,second_rater_v1_20260814,,,,,,,
R0012,second_rater_v1_20260814,,,,,,,
R0013,second_rater_v1_20260814,,,,,,,
R0014,second_rater_v1_20260814,,,,,,,
R0015,second_rater_v1_20260814,,,,,,,
R0016,second_rater_v1_20260814,,,,,,,
R0017,second_rater_v1_20260814,,,,,,,
R0018,second_rater_v1_20260814,,,,,,,
R0019,second_rater_v1_20260814,,,,,,,
R0020,second_rater_v1_20260814,,,,,,,
R0021,second_rater_v1_20260814,,,,,,,
R0022,second_rater_v1_20260814,,,,,,,
R0023,second_rater_v1_20260814,,,,,,,
R0024,second_rater_v1_20260814,,,,,,,
R0025,second_rater_v1_20260814,,,,,,,
R0026,second_rater_v1_20260814,,,,,,,
R0027,second_rater_v1_20260814,,,,,,,
R0028,second_rater_v1_20260814,,,,,,,
R0029,second_rater_v1_20260814,,,,,,,
R0030,second_rater_v1_20260814,,,,,,,
R0031,second_rater_v1_20260814,,,,,,,
R0032,second_rater_v1_20260814,,,,,,,
R0033,second_rater_v1_20260814,,,,,,,
R0034,second_rater_v1_20260814,,,,,,,
R0035,second_rater_v1_20260814,,,,,,,
R0036,second_rater_v1_20260814,,,,,,,
R0037,second_rater_v1_20260814,,,,,,,
R0038,second_rater_v1_20260814,,,,,,,
R0039,second_rater_v1_20260814,,,,,,,
R0040,second_rater_v1_20260814,,,,,,,
R0041,second_rater_v1_20260814,,,,,,,
R0042,second_rater_v1_20260814,,,,,,,
